py,theta,p_fail_mean,p_fail_median,p_fail_std,p_fail_lower,p_fail_upper,hj_value,brt_unsafe
-1.4,-0.8,1.0,1.0,0.0,1.0,1.0,,
-1.4,-0.6,1.0,1.0,0.0,1.0,1.0,,
-1.4,-0.4,1.0,1.0,0.0,1.0,1.0,,
-1.4,-0.2,0.9526,0.95,0.0194,0.9073,0.98,,
-1.4,0.0,0.6495,0.655,0.0493,0.55,0.7455,,
-1.4,0.2,0.4351,0.435,0.0502,0.33,0.54,,
-1.4,0.4,0.5516,0.55,0.0513,0.4545,0.6555,,
-1.4,0.6,0.7857,0.79,0.0412,0.7,0.8655,,
-1.4,0.8,0.9394,0.94,0.0228,0.89,0.98,,
-1.2,-0.8,1.0,1.0,0.0,1.0,1.0,,
-1.2,-0.6,0.9999,1.0,0.0011,1.0,1.0,,
-1.2,-0.4,0.988,0.99,0.0111,0.96,1.0,,
-1.2,-0.2,0.8491,0.85,0.0337,0.78,0.91,,
-1.2,0.0,0.5582,0.56,0.0486,0.4672,0.65,,
-1.2,0.2,0.4254,0.42,0.0474,0.3473,0.52,,
-1.2,0.4,0.5811,0.58,0.0487,0.48,0.6728,,
-1.2,0.6,0.8153,0.82,0.0405,0.73,0.8928,,
-1.2,0.8,0.9483,0.95,0.0213,0.91,0.98,,
-1.0,-0.8,1.0,1.0,0.0,1.0,1.0,,
-1.0,-0.6,0.9987,1.0,0.0033,0.99,1.0,,
-1.0,-0.4,0.9596,0.96,0.0189,0.9173,0.99,,
-1.0,-0.2,0.7705,0.77,0.0433,0.6873,0.8427,,
-1.0,0.0,0.5211,0.52,0.0522,0.42,0.62,,
-1.0,0.2,0.4486,0.45,0.0545,0.3473,0.56,,
-1.0,0.4,0.6241,0.63,0.0457,0.5473,0.71,,
-1.0,0.6,0.8438,0.84,0.0336,0.78,0.91,,
-1.0,0.8,0.9641,0.96,0.0176,0.9273,1.0,,
-0.8,-0.8,0.9999,1.0,0.0008,1.0,1.0,,
-0.8,-0.6,0.994,1.0,0.0068,0.98,1.0,,
-0.8,-0.4,0.9279,0.93,0.0281,0.8672,0.98,,
-0.8,-0.2,0.7166,0.72,0.0449,0.63,0.8128,,
-0.8,0.0,0.4762,0.475,0.0466,0.3873,0.56,,
-0.8,0.2,0.4549,0.45,0.0461,0.37,0.5428,,
-0.8,0.4,0.6565,0.66,0.0478,0.5645,0.75,,
-0.8,0.6,0.8717,0.87,0.035,0.8,0.94,,
-0.8,0.8,0.9708,0.97,0.017,0.94,1.0,,
-0.6,-0.8,0.9997,1.0,0.0018,0.99,1.0,,
-0.6,-0.6,0.9872,0.99,0.0113,0.96,1.0,,
-0.6,-0.4,0.8961,0.9,0.0321,0.83,0.95,,
-0.6,-0.2,0.6707,0.67,0.0477,0.57,0.75,,
-0.6,0.0,0.4548,0.45,0.0532,0.3573,0.56,,
-0.6,0.2,0.4724,0.47,0.0518,0.3773,0.56,,
-0.6,0.4,0.687,0.685,0.0489,0.5972,0.7828,,
-0.6,0.6,0.8921,0.89,0.0275,0.84,0.95,,
-0.6,0.8,0.9807,0.98,0.0129,0.95,1.0,,
-0.4,-0.8,0.9985,1.0,0.004,0.99,1.0,,
-0.4,-0.6,0.9776,0.98,0.0159,0.94,1.0,,
-0.4,-0.4,0.8641,0.87,0.0334,0.79,0.92,,
-0.4,-0.2,0.6288,0.63,0.0478,0.5373,0.73,,
-0.4,0.0,0.4445,0.45,0.0489,0.3473,0.5428,,
-0.4,0.2,0.5033,0.5,0.0474,0.4045,0.6028,,
-0.4,0.4,0.7332,0.74,0.0436,0.64,0.82,,
